Code,Districts,Libellé,Latitude,Longitude,Voitures de tourisme pour 1000 habitants 2023,Nb. d'accidents avec blessés/tués 2022,Nb. d'accidents avec dommages matériels 2022,Part des voitures électriques 2023,Gare/station,Surface totale,Altitude maximale,Altitude minimale,Habitat et infrastructures (part du territoire) 2020,Surfaces boisées (part du territoire) 2020,Surfaces agricoles (part du territoire) 2020,Surfaces improductives (part du territoire) 2020,Taux d'accroissement des logements 2021,Densité de population 2023,Part des maisons individuelles 2022,Etablissements tous secteurs 2021,Rapport de dépendance des jeunes 2023,Rapport de dépendance des personnes âgées 2023,Taux annuel 2016-2020,Population résidante permanente 2023,Part des élèves du primaire dans la population 2022,Part des élèves du secondaire inférieur dans la population 2022,Coefficient d'imposition communal 2022,Dépenses d'investissement par habitant (moyenne des 3 dernières années 2022),Marge d'autofinancement par habitant 2022,Excédent ou insuffisance de financement par habitant 2022
5563,Jura-Nord vaudois,Mutrux,46.8825207,6.7261849,701.3,0,1,2.8,0,321,1119,624,5,61.7,33,0.3,0,44.9,36.2,17,49.4,39,-2.07,145,10.6,5.3,80,11,-128.1,-160.8
5564,Jura-Nord vaudois,Novalles,46.8284542,6.5956886,650.5,0,0,3,0,201,1059,487,6,48.8,45.3,0,4.55,49.5,39.1,12,43.6,41.8,-0.5,102,14.14,5.05,76,0,40.9,41.3
5565,Jura-Nord vaudois,Onnens,46.8391148,6.6884927,657.1,0,0,3.7,1,514,1302,429,9.1,48.8,41.8,0.2,0,96.9,34.5,50,37.5,35.4,0.25,498,7.46,4.44,63.5,215.4,88.1,82.2
5566,Jura-Nord vaudois,Provence,46.8914636,6.7270271,634.4,3,1,5,0,3188,1463,632,2.4,42.8,54.7,0.1,0.42,13,26.5,45,29.2,36.8,0.13,415,6.7,1.24,81,104.9,733.8,733.8
5568,Jura-Nord vaudois,Sainte-Croix,46.822522,6.5009286,516.8,10,12,1.3,1,3936,1558,596,7.4,50.5,40.8,1.4,0.7,128,18.5,369,32.7,45.8,0.34,5051,7.21,3.35,70,739.7,813.3,-227.6
5571,Jura-Nord vaudois,Tévenon,46.8648032,6.6382256331379,638.1,1,0,4.5,0,1432,1433,540,4.1,54.4,41.4,0.1,0,60.6,54,55,41.2,34.3,3.11,865,10.61,3.58,71.5,1658.2,683.5,186.3
5581,Lavaux-Oron,Belmont-sur-Lausanne,46.5200729,6.6800519,560.8,0,0,6.1,0,262,821,427,40.5,28.2,30.9,0.4,1.31,1470.2,32.7,182,39.8,25.7,1.32,3896,7.87,3.73,72,372.5,813.2,219.4
5582,Lausanne,Cheseaux-sur-Lausanne,46.5854324,6.6061393,567.7,9,11,3.4,1,456,670,525,28.5,14.3,56.6,0.7,1.56,1057.2,15.5,221,34.1,28.1,0.11,4842,8.62,3.69,73,1204.8,1462.4,40.2
5583,Ouest lausannois,Crissier,46.5538658,6.5772501,581.3,19,31,3.7,0,550,584,408,50,26.4,23.6,0,0.1,1695.8,14.9,805,33.2,21.4,3.31,9327,8.07,3.13,63.5,924.3,1846,1120.6
5584,Lausanne,Epalinges,46.547327,6.6726245,484.2,8,11,5.5,0,461,857,651,63.1,24.1,12.6,0.2,0.26,2163.8,25.4,523,37.6,29.3,1.21,9910,8.41,3.03,64.5,1577.1,357.7,-1322.4
5585,Lausanne,Jouxtens-Mézery,46.5532677,6.5980688,593,1,3,7.6,1,192,596,470,55.2,9.4,34.9,0.5,1.56,773.6,63.4,79,38.6,40.4,-0.65,1493,8.11,2.66,59,349.7,116,-48.6
5586,Lausanne,Lausanne,46.5218269,6.6327025,338.1,414,615,2.8,1,4138,930,372,46.6,38.8,14.4,0.3,0.63,3488.8,2.7,13366,29.3,21.6,0.61,144365,7.1,2.64,78.5,1159.6,1098.4,-83.2
5587,Lausanne,Le Mont-sur-Lausanne,46.5530996,6.6354534,638.5,10,19,6.1,0,971,821,574,34.9,17.6,47.5,0,0.47,946.3,25,806,42.5,25.2,3.76,9274,9.57,3.53,73.5,541.2,733,-212.8
5588,Lavaux-Oron,Paudex,46.5056892,6.6732336,532,1,1,3.7,0,50,514,372,86,8,6,0,0,3138.8,15.1,160,32,36.1,1.09,1538,6.06,2.32,66.5,1026.9,163.4,122
5589,Ouest lausannois,Prilly,46.534566,6.6055827,396.8,19,23,2.3,1,219,613,417,84,6.8,9.1,0,0,5654.1,3.3,588,30.6,27.4,1.06,12439,7.22,2.81,72.5,586.6,1614.3,1118.5
5590,Lavaux-Oron,Pully,46.5098019,6.6617476,466.2,22,31,3.8,1,591,808,371,56.7,23.5,19.5,0.3,0.98,3293.2,6,1248,35.6,37.9,0.97,19298,6.78,2.64,61,864.5,-103.9,-804
5591,Ouest lausannois,Renens,46.5349093,6.5928442,419.4,24,48,2.3,1,295,491,398,95.6,2.7,1.7,0,1.28,7276.6,6.2,1327,31.6,22.1,0.66,21466,7.61,3.01,77,577.9,473.6,-34.4
5592,Lausanne,Romanel-sur-Lausanne,46.5621173,6.6055577,533.9,1,13,3.2,1,292,650,553,41.8,3.4,54.1,0.7,7.71,1386.1,10.5,235,33.6,28.6,-0.79,3992,7.98,3.37,70.5,761.4,938.3,331.4
5601,Lavaux-Oron,Chexbres,46.4809505,6.7803021,501.3,8,5,4,1,218,718,383,33,16.1,50.9,0,0,1037.2,16.7,182,36.1,38.5,0.18,2230,8.58,3.72,67.5,334.2,290.2,391.4
