Village,District,Latitude,Longitude,Population,Energie solaire,Cluster
Lavigny,Morges,46.5011843,6.4045912,897,1273,1
Grandson,Jura-Nord vaudois,46.8086306,6.6417532,3181,1205,0
Vallorbe,Jura-Nord vaudois,46.7120146,6.3792318,3850,1205,2
Le Lieu,Jura-Nord vaudois,46.6462186,6.280313,795,1205,2
Vaulion,Jura-Nord vaudois,46.6883547,6.3894066,437,1205,2
Romainmôtier-Envy,Jura-Nord vaudois,46.6932583,6.4611912,526,1205,2
Croy,Jura-Nord vaudois,46.6945678,6.4771721,321,1205,0
Arnex-sur-Orbe,Jura-Nord vaudois,46.6941594,6.5187517,600,1205,0
Cossonay,Morges,46.6138202,6.508938,4386,1273,0
La Sarraz,Morges,46.6590583,6.5124448,1728,1273,0
Orny,Morges,46.6676263,6.5256309,334,1273,1
Lucens,Broye-Vully,46.708447,6.8389766,4133,1350,0
Bex,Aigle,46.2513776,7.0123881,7364,1115,2
Paudex,Lavaux-Oron,46.5056892,6.6732336,1416,985,3
Belmont-sur-Lausanne,Lavaux-Oron,46.5200729,6.6800519,3575,985,1
Corcelles-près-Concise,Jura-Nord vaudois,46.8480696,6.7079314,310,1205,1
Saint-Saphorin (Lavaux),Lavaux-Oron,46.4731819,6.7959554,377,985,1
Lonay,Morges,46.5265684,6.5206068,2490,1273,0
Romanel-sur-Lausanne,Lausanne,46.5621173,6.6055577,3279,1074,0
Saint-George,Nyon,46.5138321,6.2602719,618,1461,2
Premier,Jura-Nord vaudois,46.7047978,6.444282,193,1205,2
Saint-Cergue,Nyon,46.4460968,6.158111,1601,1461,2
Syens,Broye-Vully,46.6456578,6.7782652,123,1350,1
Mont-la-Ville,Morges,46.645546,6.4077926,328,1273,2
Essertines-sur-Yverdon,Gros-de-Vaud,46.7152242,6.6383585,663,1231,1
Crassier,Nyon,46.374331,6.164548,1114,1461,1
Corsier-sur-Vevey,Riviera-Pays d'Enhaut,46.4705779,6.8436858,3409,1115,0
Borex,Nyon,46.379071,6.1777222,899,1461,1
Montagny-près-Yverdon,Jura-Nord vaudois,46.7914576,6.6117904,701,1205,1
Cheseaux-sur-Lausanne,Lausanne,46.5854324,6.6061393,2939,1074,0
Montcherand,Jura-Nord vaudois,46.7330803,6.5102099,471,1205,1
L'Abergement,Jura-Nord vaudois,46.7537886,6.4886777,249,1205,2
Penthéréaz,Gros-de-Vaud,46.6818849,6.6035686,386,1231,1
Chigny,Morges,46.5201861,6.4773257,337,1273,0
Perroy,Nyon,46.4681469,6.3642905,1413,1461,1
Roche,Aigle,46.3610602,6.9309298,1411,1115,0
Echallens,Gros-de-Vaud,46.6381163,6.6346951,4281,1231,0
Ependes,Jura-Nord vaudois,46.7431583,6.6083432,343,1205,0
Chéserex,Nyon,46.3997632,6.1737875,1243,1461,2
Vaux-sur-Morges,Morges,46.5353976,6.463827,178,1273,1
Treytorrens,Broye-Vully,46.7731198,6.8003881,102,1350,1
Ursins,Jura-Nord vaudois,46.734894,6.668296,208,1205,1
Senarclens,Morges,46.6004691,6.4868169,349,1273,1
Gollion,Morges,46.5852339,6.5088361,1073,1273,1
Le Mont-sur-Lausanne,Lausanne,46.5530996,6.6354534,6675,1074,1
Lussy-sur-Morges,Morges,46.5028627,6.4508849,645,1273,1
Bussy-sur-Moudon,Broye-Vully,46.6858284,6.8108726,186,1350,1
Mollens,Morges,46.577232,6.3634849,288,1273,2
Signy-Avenex,Nyon,46.3907229,6.2018023,445,1461,1
Penthaz,Gros-de-Vaud,46.597822,6.540398,1287,1231,1
Rolle,Nyon,46.4601563,6.3380469,6067,1461,3
Agiez,Jura-Nord vaudois,46.7199018,6.508106,294,1205,1
Morrens,Gros-de-Vaud,46.5904805,6.6267885,888,1231,1
Bonvillars,Jura-Nord vaudois,46.8375743,6.6706023,510,1205,0
Villars-Epeney,Jura-Nord vaudois,46.7817278,6.6969935,89,1205,1
Fontaines-sur-Grandson,Jura-Nord vaudois,46.8353764,6.6193942,154,1205,2
Molondin,Jura-Nord vaudois,46.7606762,6.7492454,228,1205,1
Belmont-sur-Yverdon,Jura-Nord vaudois,46.7454798,6.6241604,358,1205,1
Rossenges,Broye-Vully,46.6520362,6.7765557,63,1350,1
Sainte-Croix,Jura-Nord vaudois,46.822522,6.5009286,4684,1205,2
Penthalaz,Gros-de-Vaud,46.6113262,6.5252453,3209,1231,0
Corcelles-le-Jorat,Broye-Vully,46.6058744,6.7407986,412,1350,1
Burtigny,Nyon,46.4687203,6.2567707,311,1461,1
Clarmont,Morges,46.5474321,6.4501584,155,1273,1
Juriens,Jura-Nord vaudois,46.6911431,6.4500103,292,1205,2
Mauborget,Jura-Nord vaudois,46.8558706,6.6146584,110,1205,2
Cugy,Gros-de-Vaud,46.5842947,6.6404485,2705,1231,1
Coinsins,Nyon,46.4245995,6.2359205,368,1461,1
Cuarnens,Morges,46.6248084,6.4382631,479,1273,1
Baulmes,Jura-Nord vaudois,46.7903981,6.5212523,970,1205,2
Chêne-Pâquier,Jura-Nord vaudois,46.771165,6.7684976,131,1205,1
Orzens,Jura-Nord vaudois,46.7239217,6.6830459,198,1205,1
Démoret,Jura-Nord vaudois,46.7466929,6.7570249,126,1205,1
Donneloye,Jura-Nord vaudois,46.744325,6.7155281,731,1205,1
Dully,Nyon,46.4304617,6.2957383,617,1461,1
Yvonand,Jura-Nord vaudois,46.7983158,6.7445021,2278,1205,0
Bercher,Gros-de-Vaud,46.6920285,6.7089748,1148,1231,0
Sergey,Jura-Nord vaudois,46.7505419,6.4995735,99,1205,1
Fey,Gros-de-Vaud,46.675524,6.6827085,636,1231,0
Vinzel,Nyon,46.4476073,6.2793859,351,1461,1
Commugny,Nyon,46.3182308,6.1757684,2508,1461,1
