wayId,cycleway,length,coordinates
23374641,lane,363.00265287103724,"[(46.5251399, 6.5415877), (46.5251791, 6.5416925), (46.525268, 6.5418006), (46.5253475, 6.5418486), (46.5254028, 6.5418565), (46.5254745, 6.5418428), (46.5255132, 6.5418333), (46.5256523, 6.5417785), (46.5258515, 6.5417244), (46.5259235, 6.541712), (46.5262553, 6.5416726), (46.5262793, 6.5416708), (46.5264058, 6.5416615), (46.526491, 6.5416505), (46.5265118, 6.5416471), (46.5268165, 6.5416132), (46.5269518, 6.5415976), (46.5270874, 6.5415911), (46.5271838, 6.5415943), (46.5272793, 6.5416058), (46.5274536, 6.5416347), (46.5275553, 6.5416427), (46.5276629, 6.5416443), (46.5277494, 6.5416404), (46.5278318, 6.5416407), (46.5282575, 6.5416556), (46.5283131, 6.5416576)]"
23374658,shared_lane,254.37455375282485,"[(46.5306481, 6.5571533), (46.5307884, 6.5571765), (46.530843, 6.5571904), (46.5309192, 6.557219), (46.5310728, 6.5572838), (46.5320532, 6.5577188), (46.5321661, 6.5577845), (46.5323001, 6.5578819), (46.5325427, 6.5580854), (46.5326079, 6.5581356), (46.5326888, 6.5581832), (46.5327978, 6.5582345)]"
23374701,lane,80.63694339976146,"[(46.534996, 6.571488), (46.5345022, 6.5711214), (46.5343504, 6.5710087)]"
23390980,opposite,116.9529649764013,"[(46.5137028, 6.493964), (46.5136837, 6.4939043), (46.5136818, 6.4937948), (46.5136892, 6.4936901), (46.5136946, 6.4935979), (46.5136946, 6.4934906), (46.5136903, 6.4934544), (46.5136817, 6.4933833), (46.5136153, 6.4930587), (46.5135932, 6.4929918), (46.5135473, 6.4928642), (46.5135345, 6.4928286), (46.5134723, 6.4926421), (46.5134669, 6.4926306), (46.5134558, 6.4926073), (46.5134212, 6.4925343)]"
23394741,no,83.47969461030642,"[(46.5092867, 6.4941685), (46.5095603, 6.494945), (46.5096281, 6.4951373)]"
23405018,no,271.36201878077657,"[(46.547284, 6.6239171), (46.5469452, 6.6239154), (46.5464445, 6.6239031), (46.545205, 6.6238712), (46.5448432, 6.6238608)]"
23654741,no,446.90556195939996,"[(46.3794968, 6.9230542), (46.3803017, 6.9234088), (46.3805525, 6.9235063), (46.3808057, 6.9236124), (46.381087, 6.9237548), (46.3813674, 6.9239411), (46.3814654, 6.9240272), (46.3815712, 6.9241676), (46.3816308, 6.9243075), (46.3816748, 6.9244586), (46.3816916, 6.9246531), (46.3816802, 6.9248407), (46.3816434, 6.9250258), (46.3815926, 6.9251602), (46.381525, 6.9252668), (46.3814459, 6.9253532), (46.3813677, 6.9254182), (46.3812955, 6.9254541), (46.3812196, 6.9254778), (46.3811477, 6.925485), (46.3810507, 6.9254758), (46.3809725, 6.9254453), (46.3808942, 6.9254021), (46.3807828, 6.9252921), (46.3806802, 6.9251426)]"
23656069,opposite_lane,171.92570479777132,"[(46.5461464, 6.5638126), (46.545977, 6.5635973), (46.5459578, 6.5635499), (46.5459483, 6.5635169), (46.5459453, 6.5634728), (46.5459453, 6.5634361), (46.54595, 6.5634069), (46.5459592, 6.5633819), (46.54598, 6.5633378), (46.5464538, 6.5625608), (46.5465922, 6.5623411), (46.5466426, 6.5622679), (46.5467012, 6.5622009), (46.5467127, 6.5621955), (46.5467574, 6.5621748)]"
23949297,lane,49.258929809189596,"[(46.4246417, 6.2575885), (46.4249222, 6.2570924)]"
23949326,shared_lane,57.03606434805427,"[(46.4217498, 6.2512845), (46.421238, 6.2513373)]"
