Libellé,Cluster,Districts
Ballaigues,2,Jura-Nord vaudois
Baulmes,2,Jura-Nord vaudois
Bavois,0,Jura-Nord vaudois
Bofflens,1,Jura-Nord vaudois
Bretonnières,0,Jura-Nord vaudois
Chavornay,0,Jura-Nord vaudois
Les Clées,2,Jura-Nord vaudois
Croy,0,Jura-Nord vaudois
Juriens,2,Jura-Nord vaudois
Lignerolle,2,Jura-Nord vaudois
Montcherand,1,Jura-Nord vaudois
Orbe,0,Jura-Nord vaudois
La Praz,2,Jura-Nord vaudois
Premier,2,Jura-Nord vaudois
Rances,1,Jura-Nord vaudois
Romainmôtier-Envy,2,Jura-Nord vaudois
Sergey,1,Jura-Nord vaudois
Valeyres-sous-Rances,1,Jura-Nord vaudois
Vallorbe,2,Jura-Nord vaudois
Vaulion,2,Jura-Nord vaudois
Vuiteboeuf,0,Jura-Nord vaudois
Corcelles-le-Jorat,1,Broye-Vully
Maracon,1,Lavaux-Oron
Montpreveyres,2,Lavaux-Oron
Ropraz,1,Broye-Vully
Servion,1,Lavaux-Oron
Vulliens,1,Broye-Vully
Jorat-Menthue,1,Gros-de-Vaud
Oron,0,Lavaux-Oron
Jorat-Mézières,1,Lavaux-Oron
Champtauroz,1,Broye-Vully
Chevroux,0,Broye-Vully
Corcelles-près-Payerne,0,Broye-Vully
Grandcour,1,Broye-Vully
Henniez,0,Broye-Vully
Missy,1,Broye-Vully
Payerne,0,Broye-Vully
Trey,0,Broye-Vully
Treytorrens,1,Broye-Vully
Villarzel,1,Broye-Vully
Valbroye,1,Broye-Vully
Château-D'Oex,2,Riviera-Pays d'Enhaut
Rossinière,2,Riviera-Pays d'Enhaut
Rougemont,2,Riviera-Pays d'Enhaut
Allaman,0,Morges
Bursinel,1,Nyon
Bursins,1,Nyon
Burtigny,1,Nyon
Dully,1,Nyon
Essertines-sur-Rolle,1,Nyon
Gilly,1,Nyon
Luins,1,Nyon
Mont-sur-Rolle,1,Nyon
Perroy,1,Nyon
Rolle,3,Nyon
Tartegnin,1,Nyon
Vinzel,1,Nyon
L'Abbaye,2,Jura-Nord vaudois
Le Chenit,2,Jura-Nord vaudois
Le Lieu,2,Jura-Nord vaudois
Chardonne,0,Riviera-Pays d'Enhaut
Corseaux,3,Riviera-Pays d'Enhaut
Corsier-sur-Vevey,0,Riviera-Pays d'Enhaut
Jongny,0,Riviera-Pays d'Enhaut
Montreux,3,Riviera-Pays d'Enhaut
La Tour-de-Peilz,3,Riviera-Pays d'Enhaut
Vevey,3,Riviera-Pays d'Enhaut
Veytaux,2,Riviera-Pays d'Enhaut
Blonay-St-Légier,2,Riviera-Pays d'Enhaut
Belmont-sur-Yverdon,1,Jura-Nord vaudois
Bioley-Magnoux,1,Jura-Nord vaudois
Chamblon,1,Jura-Nord vaudois
Champvent,0,Jura-Nord vaudois
Chavannes-le-Chêne,1,Jura-Nord vaudois
Chêne-Pâquier,1,Jura-Nord vaudois
Cheseaux-Noréaz,2,Jura-Nord vaudois
Cronay,1,Jura-Nord vaudois
Cuarny,1,Jura-Nord vaudois
Démoret,1,Jura-Nord vaudois
Donneloye,1,Jura-Nord vaudois
Ependes,0,Jura-Nord vaudois
Mathod,1,Jura-Nord vaudois
Molondin,1,Jura-Nord vaudois
Montagny-près-Yverdon,1,Jura-Nord vaudois
Oppens,1,Gros-de-Vaud
Orges,0,Jura-Nord vaudois
Orzens,1,Jura-Nord vaudois
Pomy,1,Jura-Nord vaudois
Rovray,1,Jura-Nord vaudois
Suchy,1,Jura-Nord vaudois
Suscévaz,1,Jura-Nord vaudois
Treycovagnes,1,Jura-Nord vaudois
Ursins,1,Jura-Nord vaudois
Valeyres-sous-Montagny,0,Jura-Nord vaudois
Valeyres-sous-Ursins,1,Jura-Nord vaudois
Villars-Epeney,1,Jura-Nord vaudois
Vugelles-La Mothe,2,Jura-Nord vaudois
Yverdon-les-Bains,3,Jura-Nord vaudois
Yvonand,0,Jura-Nord vaudois
